Timestamp,Date,Time,Emotion,Score
1770231979.607049,2026-02-05,00:36:19,neutral,0.8511
1770231979.608563,2026-02-05,00:36:19,neutral,0.7317
1770231979.6050258,2026-02-05,00:36:19,fear,0.6145
1770231979.6352355,2026-02-05,00:36:19,neutral,0.7411
1770231979.6277237,2026-02-05,00:36:19,neutral,0.8274
1770231979.6342413,2026-02-05,00:36:19,neutral,0.4462
1770231979.6332433,2026-02-05,00:36:19,sad,0.4367
1770231979.6974583,2026-02-05,00:36:19,neutral,0.8827
1770231979.7352057,2026-02-05,00:36:19,angry,0.7115
1770231979.8909924,2026-02-05,00:36:19,neutral,0.8291
1770231979.9585567,2026-02-05,00:36:19,neutral,0.9165
1770231980.218686,2026-02-05,00:36:20,neutral,0.8631
1770231980.3349617,2026-02-05,00:36:20,neutral,0.3971
1770231980.3450336,2026-02-05,00:36:20,sad,0.8920
1770231980.4516537,2026-02-05,00:36:20,neutral,0.4538
1770231980.3099408,2026-02-05,00:36:20,fear,0.7531
1770231980.6150014,2026-02-05,00:36:20,neutral,0.8846
1770231980.7212815,2026-02-05,00:36:20,neutral,0.5189
1770231980.8477855,2026-02-05,00:36:20,neutral,0.7106
1770231981.0151544,2026-02-05,00:36:21,neutral,0.8128
1770231981.1110141,2026-02-05,00:36:21,neutral,0.7337
1770231981.0935493,2026-02-05,00:36:21,neutral,0.4597
1770231981.3112624,2026-02-05,00:36:21,neutral,0.8110
1770231981.5499434,2026-02-05,00:36:21,sad,0.8054
1770231981.550955,2026-02-05,00:36:21,neutral,0.7744
1770231981.573931,2026-02-05,00:36:21,neutral,0.4591
1770231981.598503,2026-02-05,00:36:21,neutral,0.7892
1770231981.6809285,2026-02-05,00:36:21,neutral,0.8795
1770231982.0223942,2026-02-05,00:36:22,sad,0.6967
1770231982.1103284,2026-02-05,00:36:22,happy,0.4358
1770231982.1402838,2026-02-05,00:36:22,neutral,0.9148
1770231982.231054,2026-02-05,00:36:22,neutral,0.7934
1770231982.4601903,2026-02-05,00:36:22,neutral,0.6702
1770231982.471173,2026-02-05,00:36:22,neutral,0.4612
1770231982.5666547,2026-02-05,00:36:22,neutral,0.8774
1770231982.6185977,2026-02-05,00:36:22,neutral,0.8719
1770231982.7053535,2026-02-05,00:36:22,neutral,0.7715
1770231982.7612743,2026-02-05,00:36:22,neutral,0.7898
1770231982.7753866,2026-02-05,00:36:22,neutral,0.8249
1770231982.793078,2026-02-05,00:36:22,neutral,0.7985
1770231982.8722286,2026-02-05,00:36:22,neutral,0.5329
1770231982.9336467,2026-02-05,00:36:22,neutral,0.6953
1770231983.0064824,2026-02-05,00:36:23,fear,0.3425
1770231983.0687912,2026-02-05,00:36:23,neutral,0.8569
1770231983.0745614,2026-02-05,00:36:23,neutral,0.5246
1770231983.1453178,2026-02-05,00:36:23,sad,0.4913
1770231983.1700237,2026-02-05,00:36:23,neutral,0.5495
1770231983.1765654,2026-02-05,00:36:23,neutral,0.9295
1770231983.2683852,2026-02-05,00:36:23,neutral,0.9092
1770231983.2830055,2026-02-05,00:36:23,angry,0.5033
1770231983.2920728,2026-02-05,00:36:23,neutral,0.7556
1770231983.2940817,2026-02-05,00:36:23,neutral,0.6559
1770231983.3364923,2026-02-05,00:36:23,sad,0.8083
1770231983.353492,2026-02-05,00:36:23,neutral,0.8152
1770231983.3743734,2026-02-05,00:36:23,neutral,0.8945
1770231983.47438,2026-02-05,00:36:23,neutral,0.9024
1770231983.510028,2026-02-05,00:36:23,neutral,0.8338
1770231983.5255513,2026-02-05,00:36:23,neutral,0.3942
1770231983.552997,2026-02-05,00:36:23,fear,0.3762
1770231983.552997,2026-02-05,00:36:23,neutral,0.8999
1770231983.5809758,2026-02-05,00:36:23,neutral,0.7435
1770231983.6130972,2026-02-05,00:36:23,neutral,0.8148
1770231983.7842908,2026-02-05,00:36:23,neutral,0.8902
1770231983.822155,2026-02-05,00:36:23,neutral,0.7398
1770231984.1276088,2026-02-05,00:36:24,sad,0.5211
1770231984.2101312,2026-02-05,00:36:24,sad,0.8725
1770231984.326709,2026-02-05,00:36:24,neutral,0.6032
1770231984.235081,2026-02-05,00:36:24,happy,0.8177
1770231984.6177716,2026-02-05,00:36:24,neutral,0.8687
1770231984.9052603,2026-02-05,00:36:24,neutral,0.8440
